posicao,codigo_ibge,municipio,unidade_federativa,populacao,is_capital
3363,4201208,Antônio Carlos,Santa Catarina,8513,FALSE
3364,2104073,Feira Nova do Maranhão,Maranhão,8504,FALSE
3365,2205953,Marcolândia,Piauí,8492,FALSE
3366,4314159,Paverama,Rio Grande do Sul,8487,FALSE
3367,4306932,Entre-Ijuís,Rio Grande do Sul,8475,FALSE
3368,2106672,Milagres do Maranhão,Maranhão,8464,FALSE
3369,3148509,Pavão,Minas Gerais,8450,FALSE
3370,3103702,Araponga,Minas Gerais,8439,FALSE
3371,2509305,Mataraca,Paraíba,8434,FALSE
3372,1718303,Praia Norte,Tocantins,8432,FALSE
3373,3151909,Pocrane,Minas Gerais,8432,FALSE
3374,3548054,Santo Antônio do Aracanguá,São Paulo,8420,FALSE
3375,3515202,Estrela d'Oeste,São Paulo,8419,FALSE
3376,3140530,Martins Soares,Minas Gerais,8417,FALSE
3377,1700707,Alvorada,Tocantins,8412,FALSE
3378,4112751,Jesuítas,Paraná,8412,FALSE
3379,5104906,Jangada,Mato Grosso,8409,FALSE
3380,3129608,Ibiaí,Minas Gerais,8395,FALSE
3381,2920304,Malhada de Pedras,Bahia,8393,FALSE
3382,3129004,Guiricema,Minas Gerais,8392,FALSE
3383,3161700,São Gonçalo do Abaeté,Minas Gerais,8389,FALSE
3384,2917359,Jaborandi,Bahia,8385,FALSE
3385,4308805,General Câmara,Rio Grande do Sul,8385,FALSE
3386,5107776,Santa Terezinha,Mato Grosso,8371,FALSE
3387,2703601,Japaratinga,Alagoas,8361,FALSE
3388,2501575,Barra de Santana,Paraíba,8359,FALSE
3389,4215653,Santa Rosa do Sul,Santa Catarina,8358,FALSE
3390,2407302,Marcelino Vieira,Rio Grande do Norte,8347,FALSE
3391,2500775,Aparecida,Paraíba,8347,FALSE
3392,2201960,Brasileira,Piauí,8329,FALSE
3393,3517802,Guaraçaí,São Paulo,8323,FALSE
3394,2700607,Barra de São Miguel,Alagoas,8322,FALSE
3395,2916708,Itaquara,Bahia,8319,FALSE
3396,1200328,Jordão,Acre,8317,FALSE
3397,3153509,Alto Jequitibá,Minas Gerais,8317,FALSE
3398,2506251,Gado Bravo,Paraíba,8316,FALSE
3399,2205854,Madeiro,Piauí,8310,FALSE
3400,2800704,Brejo Grande,Sergipe,8309,FALSE
3401,2919108,Lamarão,Bahia,8307,FALSE
3402,2505402,Desterro,Paraíba,8297,FALSE
3403,4216800,São José do Cerrito,Santa Catarina,8295,FALSE
3404,2203008,Cristalândia do Piauí,Piauí,8294,FALSE
3405,3521606,Irapuru,São Paulo,8294,FALSE
3406,3545159,Saltinho,São Paulo,8286,FALSE
3407,3146503,Pains,Minas Gerais,8283,FALSE
3408,4211108,Monte Castelo,Santa Catarina,8275,FALSE
3409,4304713,Caraá,Rio Grande do Sul,8270,FALSE
3410,2906402,Candeal,Bahia,8258,FALSE
3411,4204905,Descanso,Santa Catarina,8250,FALSE
3412,3143450,Montezuma,Minas Gerais,8249,FALSE
3413,2406601,Lagoa Salgada,Rio Grande do Norte,8245,FALSE
3414,2202026,Buriti dos Montes,Piauí,8244,FALSE
3415,3519808,Icém,São Paulo,8243,FALSE
3416,1503754,Jacareacanga,Pará,8239,FALSE
3417,2922805,Nova Itarana,Bahia,8226,FALSE
3418,4117222,Nova Santa Rosa,Paraná,8219,FALSE
3419,1716703,Colméia,Tocantins,8205,FALSE
3420,2412807,São Rafael,Rio Grande do Norte,8202,FALSE
3421,2615904,Tuparetama,Pernambuco,8202,FALSE
3422,1400506,São João da Baliza,Roraima,8201,FALSE
3423,4111555,Ivaté,Paraná,8185,FALSE
3424,2402402,Carnaúba dos Dantas,Rio Grande do Norte,8180,FALSE
3425,3500402,Águas da Prata,São Paulo,8180,FALSE
3426,5103601,Dom Aquino,Mato Grosso,8178,FALSE
3427,5214861,Nova Glória,Goiás,8164,FALSE
3428,3519907,Iepê,São Paulo,8159,FALSE
3429,4117008,Nova Fátima,Paraná,8153,FALSE
3430,3111408,Campo Florido,Minas Gerais,8151,FALSE
3431,3157252,Santa Bárbara do Leste,Minas Gerais,8147,FALSE
3432,3154457,Riachinho,Minas Gerais,8136,FALSE
3433,3135357,Japonvar,Minas Gerais,8134,FALSE
3434,2100402,Altamira do Maranhão,Maranhão,8128,FALSE
3435,2410900,Riachuelo,Rio Grande do Norte,8128,FALSE
3436,4127957,Tupãssi,Paraná,8124,FALSE
3437,2910305,Elísio Medrado,Bahia,8122,FALSE
3438,3528106,Macaubal,São Paulo,8120,FALSE
3439,2307205,Jati,Ceará,8111,FALSE
3440,3156304,Rodeiro,Minas Gerais,8109,FALSE
3441,4210308,Major Vieira,Santa Catarina,8103,FALSE
3442,4309050,Glorinha,Rio Grande do Sul,8098,FALSE
3443,4317004,Santana da Boa Vista,Rio Grande do Sul,8098,FALSE
3444,3147709,Passa Tempo,Minas Gerais,8084,FALSE
3445,2413409,Serra Negra do Norte,Rio Grande do Norte,8078,FALSE
3446,1505601,Peixe-Boi,Pará,8077,FALSE
3447,4312252,Minas do Leão,Rio Grande do Sul,8075,FALSE
3448,5204250,Cachoeira Dourada,Goiás,8067,FALSE
3449,5213707,Montes Claros de Goiás,Goiás,8055,FALSE
3450,5221197,Terezópolis de Goiás,Goiás,8043,FALSE
3451,1717909,Ponte Alta do Tocantins,Tocantins,8039,FALSE
3452,3128907,Guimarânia,Minas Gerais,8039,FALSE
3453,3531209,Monte Alegre do Sul,São Paulo,8038,FALSE
3454,2915700,Itamari,Bahia,8035,FALSE
3455,3506409,Bilac,São Paulo,8034,FALSE
3456,3121100,Delfim Moreira,Minas Gerais,8025,FALSE
3457,3169208,Tombos,Minas Gerais,8022,FALSE
3458,3145877,Orizânia,Minas Gerais,8018,FALSE
3459,4121752,Reserva do Iguaçu,Paraná,8010,FALSE
3460,4306056,Cristal,Rio Grande do Sul,8009,FALSE
3461,2403004,Cruzeta,Rio Grande do Norte,7998,FALSE
3462,4316709,Santa Bárbara do Sul,Rio Grande do Sul,7994,FALSE
3463,3521507,Irapuã,São Paulo,7993,FALSE
3464,5204003,Cabeceiras,Goiás,7993,FALSE
3465,2209971,São João do Arraial,Piauí,7989,FALSE
3466,1400605,São Luís,Roraima,7986,FALSE
3467,3168804,Tiradentes,Minas Gerais,7981,FALSE
3468,3527009,Lindoia,São Paulo,7980,FALSE
3469,3124807,Estrela do Sul,Minas Gerais,7978,FALSE
3470,3139706,Maravilhas,Minas Gerais,7976,FALSE
3471,4104105,Campo do Tenente,Paraná,7971,FALSE
3472,2708709,São Miguel dos Milagres,Alagoas,7951,FALSE
3473,1713601,Monte do Carmo,Tocantins,7947,FALSE
3474,3130309,Iguatama,Minas Gerais,7947,FALSE
3475,2507606,Juarez Távora,Paraíba,7936,FALSE
3476,4201703,Ascurra,Santa Catarina,7934,FALSE
3477,2931103,Tanquinho,Bahia,7918,FALSE
3478,4127809,Tomazina,Paraná,7918,FALSE
3479,4109906,Icaraíma,Paraná,7904,FALSE
3480,4322301,Tuparendi,Rio Grande do Sul,7893,FALSE
3481,4218251,Timbó Grande,Santa Catarina,7877,FALSE
3482,5002159,Bodoquena,Mato Grosso do Sul,7875,FALSE
3483,2410207,Portalegre,Rio Grande do Norte,7867,FALSE
3484,4103800,Cambira,Paraná,7865,FALSE
3485,3204252,Ponto Belo,Espírito Santo,7863,FALSE
3486,1301951,Itamarati,Amazonas,7851,FALSE
3487,5007554,Santa Rita do Pardo,Mato Grosso do Sul,7851,FALSE
3488,2201051,Assunção do Piauí,Piauí,7846,FALSE
3489,2511103,Pedra Lavrada,Paraíba,7843,FALSE
3490,3123528,Durandé,Minas Gerais,7841,FALSE
3491,3523800,Itobi,São Paulo,7841,FALSE
3492,2301505,Arneiroz,Ceará,7840,FALSE
